"PCON11CD","Total_Population","Total_Households","Total_Dwellings","Total_Household_Spaces","Total_Population_16_and_over","Total_Population_16_to_74","Total_Pop_No_NI_Students_16_to_74","Total_Employment_16_to_74","Total_Pop_in_Housesholds_16_and_over","Total_Population_3_and_over","k001","k002","k003","k004","k005","k006","k007","k008","k009","k010","k011","k012","k013","k014","k015","k016","k017","k018","k019","k020","k021","k022","k023","k024","k025","k026","k027","k028","k029","k030","k031","k032","k033","k034","k035","k036","k037","k038","k039","k040","k041","k042","k043","k044","k045","k046","k047","k048","k049","k050","k051","k052","k053","k054","k055","k056","k057","k058","k059","k060"
"E14000617",114740,43290,44742,45069,98403,91482,91482,55072,82972,110788,6223,9145,38486,21185,12252,926,22623.414366,15695,52651,32982,8349,94748,3685,3046,678,1734,7013,1967,1869,81879,7315,5063,1787,7680,2792,1056,4107,11723,13972,15185,20629,10296,11692,6189,27771.51941813,8870,17208,16869,46063,25214,8240,6598,19484,25481,2525,14909,40163,107,1988,2686,280,5946,1356,3563,12342,1375,2186,1512,12700,6239
"E14000618",97462,40664,41816,41828,79027,72274,72274,47476,78394,93942,5871,11266,26498,26033,15097,560,13446.6873681,671,24686,39157,9492,95256,867,406,110,48,418,280,77,95323,508,467,231,8138,4598,0,12245,19642,4999,4866,28354,6880,4938,1937,36213.21159473,11817,29779,10021,13606,4372,15797,2518,38725,4671,3311,13564,33912,131,5587,6812,1029,8955,2731,2265,2510,1435,2057,2770,3647,5621
"E14000619",109280,43070,45256,45353,92017,82466,82466,47113,84790,106194,5154,10883,23970,25075,18202,1078,14425.9817941,7653,39138,37476,9138,99934,2118,1252,296,232,2847,1781,820,95471,2916,2170,642,7628,3323,2159,12607,14184,9567,8476,27455,5997,8959,3445,32356.09287563,10935,24892,18295,27330,19797,13875,5296,28179,10551,2347,16606,30507,429,3437,2193,352,7745,1612,3420,4177,1691,1824,2744,8464,6659
"E14000620",85979,38995,40432,40631,71082,63615,63615,42770,69964,82818,5130,8833,22679,23022,14610,719,13609.7835216,1173,24099,32327,8873,84163,450,246,104,174,630,116,96,81663,874,1476,594,7067,3658,244,7034,15051,12701,5802,26317,6478,5693,1910,31647.13600911,8772,25639,9093,14866,4536,10208,3879,27996,9345,2426,13664,29106,484,3456,4986,554,8450,2839,3022,2393,1371,1820,2718,3101,5611
"E14000621",95322,38407,39089,39211,75242,69269,69269,48022,74727,91279,6645,12135,28376,23842,11942,553,21679.3343305,524,27093,35059,8698,74914,3819,2711,1175,574,5314,5823,992,79487,1574,1829,1109,5766,4309,10,3958,11371,11412,12458,25275,7892,4974,4220,24778.86121699,9497,26112,9042,20503,5405,11623,15853,25373,4853,3047,12877,35145,53,4873,1793,435,7269,2736,1744,5623,3430,2618,3589,4628,6661
"E14000622",88011,36440,37682,37693,73142,64626,64626,41443,72519,85553,4173,9583,19824,25213,18219,782,13387.3625767,626,20020,38910,8066,85273,911,378,67,87,480,661,154,85355,506,276,173,6786,4695,5,15677,14361,3074,3306,30204,1949,3968,1614,29900.99566143,9897,29567,7780,10693,3371,15287,7631,28673,3439,2289,12245,29198,59,5195,3562,655,6770,2505,1451,3341,4490,1810,1998,3551,4167
"E14000623",88926,37931,40340,40362,73531,64423,64423,43866,72468,86340,4506,9748,19006,27201,18809,929,4321.2456996,1079,18530,40511,8770,87667,664,93,7,16,341,61,77,84847,901,719,183,8322,3351,5,17152,10210,8781,3277,28099,3563,5681,1424,28126.23861462,10515,24208,8592,22717,3258,17654,1760,30552,6085,1689,14459,29407,2446,3942,3459,635,6663,1668,2776,4015,1555,1764,2380,4581,5714
"E14000624",98935,40740,42512,42518,79999,70690,70690,47985,79259,95849,5316,12233,22420,28419,19110,867,8177.558769,840,20220,45619,8443,94709,1680,592,75,180,715,719,265,93811,1003,679,361,8901,3925,3,18907,15133,5497,2696,30647,5096,4380,1265,29855.87259792,11359,27424,9417,21370,4218,19290,3057,35608,5525,2066,15593,32392,1414,4450,3514,809,7629,2968,2026,4857,3001,2051,2659,4752,5618
"E14000625",94748,39040,40251,40268,77730,69064,69064,47887,76814,91656,5156,10654,22893,26763,17544,766,10887.7174096,947,21583,42208,8140,83729,1403,7534,213,49,918,535,367,87955,682,538,666,7653,4302,13,15204,16994,4918,2975,32113,2756,3758,1274,27125.70419729,10879,27015,9478,20430,5038,17481,3418,37420,4511,1960,14072,33815,212,4511,6185,836,8567,1866,1794,3881,2074,1902,2844,5294,5830
"E14000626",97281,39172,40446,40468,76804,71272,71272,47700,76235,93128,6804,12351,27559,24378,12563,473,18358.6353673,569,26256,35830,10046,89045,1725,1712,370,559,944,2379,547,88461,1018,2603,1219,7083,4198,88,5531,12764,16589,5568,26519,6356,5952,2917,26977.48979946,9032,30877,9408,13892,4961,14861,5513,35883,4545,3545,13019,34681,153,5359,3824,1020,8935,2876,2064,3469,2613,2812,3125,3799,5540
"E14000627",91023,37565,38767,38773,74270,65139,65139,43843,73659,88184,4866,10720,21007,25865,17874,816,12016.9885618,634,19710,41136,7447,80942,1603,1629,3602,332,1478,547,890,84100,780,491,556,6223,4375,5,13217,16737,4178,4604,31670,2314,3229,1148,27968.64679039,10630,23273,9000,27224,5075,16947,4362,32588,3886,1871,13193,30650,55,2815,3186,355,7193,2188,1812,6183,3225,1960,2075,5050,5855
"E14000628",105424,44183,45114,45131,85405,77479,77479,54839,84307,101231,6857,11963,31363,26277,15310,806,18591.2109428,1134,28960,41596,9681,97345,1929,1557,591,401,1459,1693,449,96651,1333,1257,533,8384,4352,96,9268,14770,10945,10125,31206,6624,5907,2899,27169.58330724,9950,30162,10777,25300,5404,16043,10666,32692,9058,2881,14917,39922,142,4313,3538,511,8148,2543,2351,6294,6172,2348,3917,5593,6400
"E14000629",105697,49644,53990,54569,89209,83699,83699,57765,88146,101449,6699,9066,43663,21709,11613,615,98152.6522047,1064,44753,31124,9462,81727,5043,1563,581,469,5237,6276,4801,62084,13057,2423,1869,7616,3006,497,652,2231,11291,40333,20575,11243,16576,10921,27314.06418918,6832,13315,9117,47900,7632,5669,31596,9575,11527,3246,10150,47615,79,2175,1263,262,5576,1439,2804,14624,12813,2894,1405,3624,4434
"E14000630",104867,46137,48202,48508,86845,78017,78017,53671,84042,101255,5892,10888,30695,24701,16041,1048,20539.035409,3513,34632,36263,10162,98753,1762,1350,162,296,1530,681,333,93619,1944,2630,840,8690,3138,576,7999,15090,10847,14295,29413,5867,10372,3995,30682.2145337,9321,24692,12115,31892,8778,14463,4043,32343,14069,2663,15240,38431,115,3214,4974,645,8042,1268,3394,6537,3598,2550,4523,5975,6438
"E14000631",92635,36946,38287,38306,73679,65043,65043,44785,72917,89449,5473,12199,20830,26913,17108,860,7555.7914733,764,18298,43130,6862,84749,2040,1799,1772,120,1355,524,276,83194,1565,1231,510,6617,3632,5,16719,9456,6315,5527,28675,4573,3314,1506,20973.43597915,9664,21428,8143,30179,4195,19571,7054,29177,3941,1728,13384,31401,220,3240,3029,365,6488,1698,1634,8808,3232,2174,1728,5042,4571
"E14000632",93248,42181,43727,43776,77075,68741,68741,43167,76036,90094,5169,9855,23871,25899,16678,798,12743.3245002,1044,24289,36374,10314,89879,1005,459,330,124,594,721,136,89894,723,506,336,8181,3876,4,10702,19186,8017,5862,26813,9619,5331,2033,41329.38886025,11745,27075,9376,16690,4044,12287,4460,31500,5651,3176,13673,29494,95,3458,4816,517,7750,2365,2207,3319,1335,1802,2431,4043,7079
"E14000633",104374,45794,49342,49405,87353,74361,74361,48813,84888,101283,5206,10665,22189,28896,24153,1396,8854.8391452,2681,24026,45376,10144,101083,1006,442,36,131,938,498,240,96429,1700,1292,436,8633,3684,296,18107,13445,9299,8093,31307,6796,6781,2384,32898.82533557,11459,26906,11199,28295,5920,18917,3480,31708,9186,2111,15808,33005,965,3735,3578,382,7471,1597,3163,5447,2424,2444,3106,5008,6687
"E14000634",88149,35404,36130,36174,70956,63850,63850,42509,70323,84833,5528,10547,24586,22528,13111,821,19190.9672274,634,25314,33016,7655,64835,4196,2575,2982,732,2825,7993,2011,71863,1384,3076,1618,4927,4286,24,2767,11451,10405,11533,24685,5354,5018,4047,24574.87979952,8861,22329,7782,20846,5358,10736,17358,19690,3488,2869,11494,31015,21,3957,1653,323,5509,2207,1675,5668,4682,2005,2591,5433,4496
"E14000635",96336,40405,41617,41645,77347,69113,69113,48359,76281,92826,5792,11910,24133,26474,16312,901,11406.4930821,1152,21560,40831,9563,93169,1340,349,24,142,633,526,153,90139,1662,1134,339,8143,3556,4,13363,13452,9745,4916,29238,5832,4901,1841,28264.05303586,10023,27536,9688,23123,4313,16819,2925,35272,7085,2232,14579,33780,454,3474,5348,643,7652,1889,2445,5587,2062,2130,4343,5049,5134
"E14000636",111973,44364,45447,45531,89681,81518,81518,54533,88518,107462,7511,13423,33169,28325,15667,940,22332.0493308,1167,31410,43474,9194,80436,5452,7270,1019,593,7370,6093,3740,81299,3346,5627,2790,6135,5251,70,5643,15484,7921,16327,29962,5202,8558,5550,28024.92786032,11123,23441,9650,35217,7511,13869,21800,24835,4075,3510,15307,39226,26,3852,1679,316,7653,2100,2353,9420,4946,2435,2657,6893,6386
"E14000637",94932,40563,42242,42280,77144,70407,70407,47856,76209,91476,5710,10838,25137,26448,15238,652,11983.2540034,949,23179,39039,9614,92019,871,581,466,95,411,315,174,91804,566,679,352,8320,4155,7,12073,13898,11709,4428,30339,5630,4213,1594,33056.58488481,10989,26473,9818,21426,4005,16460,2897,37530,5083,2405,12940,34916,343,4042,5263,636,8016,1937,2165,4105,1931,2166,3372,4833,6954
"E14000638",83596,37643,40004,40020,71701,57287,57287,35125,70633,81645,3367,7634,14884,23151,25237,1657,8937.1131204,1118,15525,40496,7845,81746,723,173,23,142,528,136,125,79458,961,451,143,6892,3385,3,20577,6280,4989,7338,29988,3826,3476,1765,34218.93872479,10849,25173,7866,17843,3026,15191,1627,26678,4105,1522,11991,23134,171,3345,2995,323,6234,1463,2011,3254,2671,1460,1705,3168,4542
"E14000639",110000,56672,67388,68200,97518,91623,91623,60323,92570,106738,5035,6882,45929,24016,12585,551,101382.1137953,5107,51182,32287,10433,75391,4969,3656,1088,2090,8385,5288,9133,54558,13952,3034,3360,9453,2596,831,394,672,4902,62218,18354,12186,23859,16776,31587.36939586,7412,13344,9589,53177,12448,4146,27986,5602,20835,3411,10473,49850,52,1925,1246,288,5191,1209,3687,14996,13360,2416,3142,3536,3990
"E14000640",92995,41003,43319,43443,77917,69629,69629,45687,76474,89960,5032,9090,25300,23400,15766,866,15290.4761871,1450,29189,34352,8594,89133,1197,630,182,381,741,483,248,86740,1278,1608,535,7419,3656,546,8815,14458,11208,8944,26432,6645,7374,2648,32550.33216448,9470,22566,11059,26327,7810,13169,4447,29742,8985,2422,13986,31701,261,2421,4255,599,7402,1858,3600,5031,3533,1864,2292,4664,5771
